Title,Genre,Runtime,Year,Director,IMDB Rating,IMDB Votes,Rotten Tomatoes,Actors,IMDB ID,Type,Rated,Released,Writer,Country,Awards,Plot,Watched,I Want to Watch
Witness for the Prosecution,"Crime, Drama, Mystery",116 min,1957,Billy Wilder,8.4,"131,681",100%,"Tyrone Power, Marlene Dietrich, Charles Laughton",tt0051201,movie,Approved,6-Feb-58,"Agatha Christie, Billy Wilder, Harry Kurnitz",United States,Nominated for 6 Oscars. 3 wins & 15 nominations total,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,no,yes,
American Beauty,Drama,122 min,1999,Sam Mendes,8.3,"1,181,075",87%,"Kevin Spacey, Annette Bening, Thora Birch",tt0169547,movie,R,1-Oct-99,Alan Ball,United States,Won 5 Oscars. 112 wins & 102 nominations total,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,no,yes,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Comedy, War",95 min,1964,Stanley Kubrick,8.4,"504,005",98%,"Peter Sellers, George C. Scott, Sterling Hayden",tt0057012,movie,PG,29-Jan-64,"Stanley Kubrick, Terry Southern, Peter George","United Kingdom, United States",Nominated for 4 Oscars. 14 wins & 11 nominations total,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",no,yes,
Amadeus,"Biography, Drama, Music",160 min,1984,Milos Forman,8.4,"414,434",89%,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge",tt0086879,movie,PG,19-Sep-84,"Peter Shaffer, Zdenek Mahler","United States, France",Won 8 Oscars. 43 wins & 14 nominations total,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",no,yes,
Das Boot,"Drama, War",149 min,1981,Wolfgang Petersen,8.4,"257,395",98%,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann",tt0082096,movie,R,10-Feb-82,"Wolfgang Petersen, Lothar G. Buchheim","West Germany, Italy, France, United Kingdom",Nominated for 6 Oscars. 13 wins & 11 nominations total,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,no,yes,
Good Will Hunting,"Drama, Romance",126 min,1997,Gus Van Sant,8.3,"1,015,007",97%,"Robin Williams, Matt Damon, Ben Affleck",tt0119217,movie,R,9-Jan-98,"Matt Damon, Ben Affleck",United States,Won 2 Oscars. 24 wins & 61 nominations total,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",no,yes,
Once Upon a Time in America,"Crime, Drama",229 min,1984,Sergio Leone,8.3,"364,276",87%,"Robert De Niro, James Woods, Elizabeth McGovern",tt0087843,movie,R,1-Jun-84,"Harry Grey, Leonardo Benvenuti, Piero De Bernardi","Italy, United States",Won 2 BAFTA 11 wins & 11 nominations total,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",no,yes,
3 Idiots,"Comedy, Drama",170 min,2009,Rajkumar Hirani,8.4,"415,310",100%,"Aamir Khan, Madhavan, Mona Singh",tt1187043,movie,PG-13,25-Dec-09,"Abhijat Joshi, Rajkumar Hirani, Vidhu Vinod Chopra",India,66 wins & 30 nominations,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",no,yes,
High and Low,"Crime, Drama, Mystery",143 min,1963,Akira Kurosawa,8.4,"48,880",96%,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai",tt0057565,movie,Not Rated,26-Nov-63,"Hideo Oguni, Ryûzô Kikushima, Eijirô Hisaita",Japan,3 wins & 3 nominations,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,no,yes,
Singin' in the Rain,"Comedy, Musical, Romance",103 min,1952,"Stanley Donen, Gene Kelly",8.3,"251,302",100%,"Gene Kelly, Donald O'Connor, Debbie Reynolds",tt0045152,movie,G,10-Apr-52,"Betty Comden, Adolph Green",United States,Nominated for 2 Oscars. 8 wins & 9 nominations total,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,no,yes,
