Title,Genre,Runtime,Year,Director,IMDB Rating,IMDB Votes,Rotten Tomatoes,Actors,IMDB ID,Type,Rated,Released,Writer,Country,Awards,Plot,Watched,I Want to Watch
All About Eve,Drama,138 min,1950,Joseph L. Mankiewicz,8.2,"134,793",99%,"Bette Davis, Anne Baxter, George Sanders",tt0042192,movie,Passed,27-Oct-50,"Joseph L. Mankiewicz, Mary Orr",United States,Won 6 Oscars. 27 wins & 20 nominations total,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,no,yes,
Judgment at Nuremberg,"Drama, War",179 min,1961,Stanley Kramer,8.3,"81,085",92%,"Spencer Tracy, Burt Lancaster, Richard Widmark",tt0055031,movie,Approved,18-Dec-61,"Abby Mann, Montgomery Clift",United States,Won 2 Oscars. 16 wins & 26 nominations total,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",no,yes,
Ran,"Action, Drama, War",162 min,1985,Akira Kurosawa,8.2,"130,572",96%,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu",tt0089881,movie,R,1-Jun-85,"Akira Kurosawa, Hideo Oguni, Masato Ide","Japan, France",Won 1 Oscar. 30 wins & 23 nominations total,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",no,yes,
Unforgiven,"Drama, Western",130 min,1992,Clint Eastwood,8.2,"423,913",96%,"Clint Eastwood, Gene Hackman, Morgan Freeman",tt0105695,movie,R,7-Aug-92,David Webb Peoples,United States,Won 4 Oscars. 50 wins & 47 nominations total,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",no,yes,
The Treasure of the Sierra Madre,"Adventure, Drama, Western",126 min,1948,John Huston,8.2,"128,970",100%,"Humphrey Bogart, Walter Huston, Tim Holt",tt0040897,movie,Passed,24-Jan-48,"John Huston, B. Traven",United States,Won 3 Oscars. 15 wins & 5 nominations total,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,no,yes,
Yojimbo,"Action, Drama, Thriller",110 min,1961,Akira Kurosawa,8.2,"127,018",95%,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai",tt0055630,movie,Not Rated,13-Sep-61,"Akira Kurosawa, Ryûzô Kikushima",Japan,Nominated for 1 Oscar. 4 wins & 2 nominations total,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,no,yes,
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",91 min,1975,"Terry Gilliam, Terry Jones",8.2,"555,986",96%,"Graham Chapman, John Cleese, Eric Idle",tt0071853,movie,PG,25-May-75,"Graham Chapman, John Cleese, Eric Idle",United Kingdom,2 wins & 2 nominations,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",no,yes,
Rashomon,"Crime, Drama, Mystery",88 min,1950,Akira Kurosawa,8.2,"174,742",98%,"Toshirô Mifune, Machiko Kyô, Masayuki Mori",tt0042876,movie,Not Rated,26-Dec-51,"Ryûnosuke Akutagawa, Akira Kurosawa, Shinobu Hashimoto",Japan,Nominated for 1 Oscar. 9 wins & 5 nominations total,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",no,yes,
Chinatown,"Drama, Mystery, Thriller",130 min,1974,Roman Polanski,8.2,"337,766",99%,"Jack Nicholson, Faye Dunaway, John Huston",tt0071315,movie,R,20-Jun-74,"Robert Towne, Roman Polanski",United States,Won 1 Oscar. 21 wins & 24 nominations total,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",no,yes,
Gone with the Wind,"Drama, Romance, War",238 min,1939,"Victor Fleming, George Cukor, Sam Wood",8.2,"325,052",90%,"Clark Gable, Vivien Leigh, Thomas Mitchell",tt0031381,movie,Passed,17-Jan-40,"Margaret Mitchell, Sidney Howard, Oliver H.P. Garrett",United States,Won 8 Oscars. 21 wins & 9 nominations total,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,no,yes,
Raging Bull,"Biography, Drama, Sport",129 min,1980,Martin Scorsese,8.1,"366,230",93%,"Robert De Niro, Cathy Moriarty, Joe Pesci",tt0081398,movie,R,19-Dec-80,"Jake LaMotta, Joseph Carter, Peter Savage",United States,Won 2 Oscars. 24 wins & 28 nominations total,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",no,yes,
Dial M for Murder,"Crime, Thriller",105 min,1954,Alfred Hitchcock,8.2,"182,493",90%,"Ray Milland, Grace Kelly, Robert Cummings",tt0046912,movie,PG,29-May-54,Frederick Knott,United States,Nominated for 1 BAFTA Award5 wins & 3 nominations total,A former tennis star arranges the murder of his adulterous wife.,no,yes,
"Lock, Stock and Two Smoking Barrels","Action, Comedy, Crime",107 min,1998,Guy Ritchie,8.1,"599,570",75%,"Jason Flemyng, Dexter Fletcher, Nick Moran",tt0120735,movie,R,28-Aug-98,Guy Ritchie,United Kingdom,Won 1 BAFTA Award13 wins & 9 nominations total,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",no,yes,
The Secret in Their Eyes,"Drama, Mystery, Romance",129 min,2009,Juan José Campanella,8.2,"216,037",89%,"Ricardo Darín, Soledad Villamil, Pablo Rago",tt1305806,movie,R,21-May-10,"Eduardo Sacheri, Juan José Campanella","Argentina, Spain",Won 1 Oscar. 53 wins & 43 nominations total,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,no,yes,
Prisoners,"Crime, Drama, Mystery",153 min,2013,Denis Villeneuve,8.1,"760,761",81%,"Hugh Jackman, Jake Gyllenhaal, Viola Davis",tt1392214,movie,R,20-Sep-13,Aaron Guzikowski,United States,Nominated for 1 Oscar. 10 wins & 38 nominations total,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",no,yes,
The Bridge on the River Kwai,"Adventure, Drama, War",161 min,1957,David Lean,8.1,"227,073",96%,"William Holden, Alec Guinness, Jack Hawkins",tt0050212,movie,PG,14-Dec-57,"Pierre Boulle, Carl Foreman, Michael Wilson","United Kingdom, United States",Won 7 Oscars. 30 wins & 7 nominations total,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",no,yes,
Trainspotting,Drama,93 min,1996,Danny Boyle,8.1,"706,339",90%,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller",tt0117951,movie,R,9-Aug-96,"Irvine Welsh, John Hodge",United Kingdom,Nominated for 1 Oscar. 23 wins & 35 nominations total,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",no,yes,
Warrior,"Action, Drama, Sport",140 min,2011,Gavin O'Connor,8.1,"485,461",84%,"Tom Hardy, Nick Nolte, Joel Edgerton",tt1291584,movie,PG-13,9-Sep-11,"Gavin O'Connor, Anthony Tambakis, Cliff Dorfman",United States,Nominated for 1 Oscar. 5 wins & 22 nominations total,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",no,yes,
Gran Torino,Drama,116 min,2008,Clint Eastwood,8.1,"795,059",81%,"Clint Eastwood, Bee Vang, Christopher Carley",tt1205489,movie,R,9-Jan-09,"Nick Schenk, Dave Johannson","Germany, United States",21 wins & 22 nominations,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",no,yes,
Catch Me If You Can,"Biography, Crime, Drama",141 min,2002,Steven Spielberg,8.1,"1,041,143",96%,"Leonardo DiCaprio, Tom Hanks, Christopher Walken",tt0264464,movie,PG-13,25-Dec-02,"Jeff Nathanson, Frank Abagnale Jr., Stan Redding","United States, Canada",Nominated for 2 Oscars. 16 wins & 46 nominations total,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",no,yes,
Children of Heaven,"Drama, Family, Sport",89 min,1997,Majid Majidi,8.2,"77,645",83%,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi",tt0118849,movie,PG,22-Jan-99,Majid Majidi,Iran,Nominated for 1 Oscar. 13 wins & 5 nominations total,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",no,yes,
Ben-Hur,"Adventure, Drama",212 min,1959,William Wyler,8.1,"246,917",85%,"Charlton Heston, Jack Hawkins, Stephen Boyd",tt0052618,movie,G,18-Nov-59,"Lew Wallace, Karl Tunberg, Gore Vidal",United States,Won 11 Oscars. 29 wins & 13 nominations total,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",no,yes,
On the Waterfront,"Crime, Drama, Thriller",108 min,1954,Elia Kazan,8.1,"160,131",99%,"Marlon Brando, Karl Malden, Lee J. Cobb",tt0047296,movie,Approved,22-Jun-54,"Budd Schulberg, Malcolm Johnson, Robert Siodmak",United States,Won 8 Oscars. 30 wins & 10 nominations total,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",no,yes,
Barry Lyndon,"Adventure, Drama, War",185 min,1975,Stanley Kubrick,8.1,"175,953",88%,"Ryan O'Neal, Marisa Berenson, Patrick Magee",tt0072684,movie,PG,18-Dec-75,"Stanley Kubrick, William Makepeace Thackeray","United Kingdom, United States",Won 4 Oscars. 17 wins & 14 nominations total,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,no,yes,
In the Name of the Father,"Biography, Crime, Drama",133 min,1993,Jim Sheridan,8.1,"181,389",94%,"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie",tt0107207,movie,R,25-Feb-94,"Gerry Conlon, Terry George, Jim Sheridan","Ireland, United Kingdom",Nominated for 7 Oscars. 7 wins & 41 nominations total,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,no,yes,
The General,"Action, Adventure, Comedy",78 min,1926,"Clyde Bruckman, Buster Keaton",8.1,"95,037",92%,"Buster Keaton, Marion Mack, Glen Cavender",tt0017925,movie,Passed,2-Jan-27,"Buster Keaton, Clyde Bruckman, Al Boasberg",United States,2 wins & 1 nomination,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through ene...",no,yes,
The Deer Hunter,"Drama, War",183 min,1978,Michael Cimino,8.1,"349,051",86%,"Robert De Niro, Christopher Walken, John Cazale",tt0077416,movie,R,23-Feb-79,"Michael Cimino, Deric Washburn, Louis Garfinkle","United States, United Kingdom",Won 5 Oscars. 24 wins & 27 nominations total,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,no,yes,
Wild Strawberries,"Drama, Romance",91 min,1957,Ingmar Bergman,8.1,"111,379",94%,"Victor Sjöström, Bibi Andersson, Ingrid Thulin",tt0050986,movie,Not Rated,22-Jun-59,Ingmar Bergman,Sweden,Nominated for 1 Oscar. 16 wins & 4 nominations total,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",no,yes,
The Third Man,"Film-Noir, Mystery, Thriller",93 min,1949,Carol Reed,8.1,"176,851",99%,"Orson Welles, Joseph Cotten, Alida Valli",tt0041959,movie,Approved,3-Sep-49,"Graham Greene, Orson Welles, Alexander Korda",United Kingdom,Won 1 Oscar. 5 wins & 4 nominations total,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",no,yes,
The Wages of Fear,"Adventure, Drama, Thriller",131 min,1953,Henri-Georges Clouzot,8.2,"63,836",100%,"Yves Montand, Charles Vanel, Peter van Eyck",tt0046268,movie,Not Rated,16-Feb-55,"Georges Arnaud, Henri-Georges Clouzot, Jérôme Géronimi","France, Italy",Won 1 BAFTA Award6 wins & 1 nomination total,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",no,yes,
Wild Tales,"Comedy, Drama, Thriller",122 min,2014,Damián Szifron,8.1,"207,758",94%,"Darío Grandinetti, María Marull, Mónica Villa",tt3011894,movie,R,21-Aug-14,"Julian Loyola, Damián Szifron, Germán Servidio","Argentina, Spain, France, United Kingdom",Nominated for 1 Oscar. 49 wins & 58 nominations total,Six short stories that explore the extremities of human behavior involving people in distress.,no,yes,
Sherlock Jr.,"Action, Comedy, Romance",45 min,1924,Buster Keaton,8.2,"53,141",93%,"Buster Keaton, Kathryn McGuire, Joe Keaton",tt0015324,movie,Passed,11-May-24,"Jean C. Havez, Joseph A. Mitchell, Clyde Bruckman",United States,2 wins,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",no,yes,
Mr. Smith Goes to Washington,"Comedy, Drama",129 min,1939,Frank Capra,8.1,"118,477",85%,"James Stewart, Jean Arthur, Claude Rains",tt0031679,movie,Passed,19-Oct-39,"Sidney Buchman, Lewis R. Foster, Myles Connolly",United States,Won 1 Oscar. 5 wins & 12 nominations total,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his c...",no,yes,
The Seventh Seal,"Drama, Fantasy",96 min,1957,Ingmar Bergman,8.1,"191,812",93%,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot",tt0050976,movie,Not Rated,13-Oct-58,Ingmar Bergman,Sweden,9 wins & 2 nominations,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",no,yes,
Room,"Drama, Thriller",118 min,2015,Lenny Abrahamson,8.1,"435,026",93%,"Brie Larson, Jacob Tremblay, Sean Bridgers",tt3170832,movie,R,22-Jan-16,Emma Donoghue,"Ireland, Canada, United Kingdom, United States",Won 1 Oscar. 108 wins & 141 nominations total,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",no,yes,
Tokyo Story,Drama,136 min,1953,Yasujirô Ozu,8.1,"65,144",100%,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura",tt0046438,movie,Not Rated,13-Mar-72,"Kôgo Noda, Yasujirô Ozu",Japan,3 wins,"An old couple visit their children and grandchildren in the city, but receive little attention.",no,yes,
Ford v Ferrari,"Action, Biography, Drama",152 min,2019,James Mangold,8.1,"429,915",92%,"Matt Damon, Christian Bale, Jon Bernthal",tt1950186,movie,PG-13,15-Nov-19,"Jez Butterworth, John-Henry Butterworth, Jason Keller",United States,Won 2 Oscars. 25 wins & 89 nominations total,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,no,yes,
The Passion of Joan of Arc,"Biography, Drama, History",114 min,1928,Carl Theodor Dreyer,8.2,"57,944",98%,"Maria Falconetti, Eugene Silvain, André Berley",tt0019254,movie,Passed,25-Oct-28,"Joseph Delteil, Carl Theodor Dreyer",France,4 wins & 1 nomination,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",no,yes,
Rocky,"Drama, Sport",120 min,1976,John G. Avildsen,8.1,"604,817",92%,"Sylvester Stallone, Talia Shire, Burt Young",tt0075148,movie,PG,3-Dec-76,Sylvester Stallone,United States,Won 3 Oscars. 21 wins & 23 nominations total,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,no,yes,
Platoon,"Drama, War",120 min,1986,Oliver Stone,8.1,"426,524",89%,"Charlie Sheen, Tom Berenger, Willem Dafoe",tt0091763,movie,R,6-Feb-87,Oliver Stone,"United States, United Kingdom",Won 4 Oscars. 24 wins & 15 nominations total,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",no,yes,
Jai Bhim,"Crime, Drama, Mystery",164 min,2021,T.J. Gnanavel,8.8,"209,235",100%,"Suriya, Lijo Mol Jose, Manikandan K.",tt15097216,movie,TV-MA,2-Nov-21,"T.J. Gnanavel, Rajendra Sapre",India,10 wins & 20 nominations,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",no,yes,
Before Sunset,"Drama, Romance",80 min,2004,Richard Linklater,8.1,"276,883",94%,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff",tt0381681,movie,R,30-Jul-04,"Richard Linklater, Julie Delpy, Ethan Hawke","United States, France",Nominated for 1 Oscar. 9 wins & 32 nominations total,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",no,yes,
Rush,"Action, Biography, Drama",123 min,2013,Ron Howard,8.1,"496,194",88%,"Daniel Brühl, Chris Hemsworth, Olivia Wilde",tt1979320,movie,R,27-Sep-13,Peter Morgan,"United Kingdom, United States",Won 1 BAFTA Award6 wins & 65 nominations total,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,no,yes,
Network,Drama,121 min,1976,Sidney Lumet,8.1,"165,082",92%,"Faye Dunaway, William Holden, Peter Finch",tt0074958,movie,R,27-Nov-76,Paddy Chayefsky,United States,Won 4 Oscars. 20 wins & 27 nominations total,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",no,yes,
Stand by Me,"Adventure, Drama",89 min,1986,Rob Reiner,8.1,"422,704",92%,"Wil Wheaton, River Phoenix, Corey Feldman",tt0092005,movie,R,22-Aug-86,"Stephen King, Raynold Gideon, Bruce A. Evans",United States,Nominated for 1 Oscar. 6 wins & 11 nominations total,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",no,yes,
The Best Years of Our Lives,"Drama, Romance, War",170 min,1946,William Wyler,8.1,"68,028",97%,"Myrna Loy, Dana Andrews, Fredric March",tt0036868,movie,Approved,29-May-47,"Robert E. Sherwood, MacKinlay Kantor",United States,Won 7 Oscars. 21 wins & 3 nominations total,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",no,yes,
La haine,"Crime, Drama",98 min,1995,Mathieu Kassovitz,8.1,"184,560",96%,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",tt0113247,movie,Not Rated,23-Feb-96,Mathieu Kassovitz,France,8 wins & 15 nominations,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,no,yes,
To Be or Not to Be,"Comedy, Romance, War",99 min,1942,Ernst Lubitsch,8.2,"40,147",96%,"Carole Lombard, Jack Benny, Robert Stack",tt0035446,movie,Passed,6-Mar-42,"Melchior Lengyel, Edwin Justus Mayer, Ernst Lubitsch",United States,Nominated for 1 Oscar. 2 wins & 2 nominations total,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",no,yes,
My Father and My Son,"Drama, Family",112 min,2005,Çagan Irmak,8.2,"89,086",N/A,"Çetin Tekindor, Fikret Kuskan, Hümeyra",tt0476735,movie,Not Rated,18-Nov-05,Çagan Irmak,Turkey,14 wins & 7 nominations,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,no,yes,
The Grapes of Wrath,Drama,129 min,1940,John Ford,8.1,"96,757",100%,"Henry Fonda, Jane Darwell, John Carradine",tt0032551,movie,Passed,15-Mar-40,"Nunnally Johnson, John Steinbeck",United States,Won 2 Oscars. 10 wins & 6 nominations total,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",no,yes,
The Battle of Algiers,"Drama, War",121 min,1966,Gillo Pontecorvo,8.1,"63,086",99%,"Brahim Hadjadj, Jean Martin, Yacef Saadi",tt0058946,movie,Not Rated,20-Sep-67,"Franco Solinas, Gillo Pontecorvo","Italy, Algeria",Nominated for 3 Oscars. 9 wins & 8 nominations total,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",no,yes,
Rebecca,"Drama, Film-Noir, Mystery",130 min,1940,Alfred Hitchcock,8.1,"141,946",98%,"Laurence Olivier, Joan Fontaine, George Sanders",tt0032976,movie,Approved,12-Apr-40,"Daphne Du Maurier, Robert E. Sherwood, Joan Harrison",United States,Won 2 Oscars. 7 wins & 10 nominations total,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,no,yes,
Cool Hand Luke,"Crime, Drama",127 min,1967,Stuart Rosenberg,8.1,"183,928",100%,"Paul Newman, George Kennedy, Strother Martin",tt0061512,movie,GP,1-Nov-67,"Donn Pearce, Frank Pierson, Hal Dresner",United States,Won 1 Oscar. 4 wins & 11 nominations total,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",no,yes,
Pather Panchali,Drama,125 min,1955,Satyajit Ray,8.2,"35,875",98%,"Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee",tt0048473,movie,Not Rated,26-Aug-55,"Bibhutibhushan Bandyopadhyay, Satyajit Ray",India,Nominated for 1 BAFTA Award11 wins & 2 nominations total,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",no,yes,
The Sound of Music,"Biography, Drama, Family",172 min,1965,Robert Wise,8.1,"247,284",84%,"Julie Andrews, Christopher Plummer, Eleanor Parker",tt0059742,movie,G,1-Apr-65,"Georg Hurdalek, Howard Lindsay, Russel Crouse",United States,Won 5 Oscars. 17 wins & 13 nominations total,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,no,yes,
It Happened One Night,"Comedy, Romance",105 min,1934,Frank Capra,8.1,"108,380",98%,"Clark Gable, Claudette Colbert, Walter Connolly",tt0025316,movie,Passed,22-Feb-34,"Robert Riskin, Samuel Hopkins Adams",United States,Won 5 Oscars. 11 wins & 2 nominations total,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",no,yes,
The 400 Blows,"Crime, Drama",99 min,1959,François Truffaut,8.1,"123,595",99%,"Jean-Pierre Léaud, Albert Rémy, Claire Maurier",tt0053198,movie,Not Rated,16-Nov-59,"François Truffaut, Marcel Moussy",France,Nominated for 1 Oscar. 8 wins & 5 nominations total,"A young boy, left without attention, delves into a life of petty crime.",no,yes,
The Help,Drama,146 min,2011,Tate Taylor,8.1,"476,661",76%,"Viola Davis, Emma Stone, Octavia Spencer",tt1454029,movie,PG-13,10-Aug-11,"Tate Taylor, Kathryn Stockett","United States, India",Won 1 Oscar. 79 wins & 121 nominations total,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily b...",no,yes,
Persona,"Drama, Thriller",83 min,1966,Ingmar Bergman,8.1,"124,806",91%,"Bibi Andersson, Liv Ullmann, Margaretha Krook",tt0060827,movie,Not Rated,16-Mar-67,Ingmar Bergman,Sweden,Nominated for 1 BAFTA Award8 wins & 4 nominations total,A nurse is put in charge of a mute actress and finds that their personae are melding together.,no,yes,
Drishyam,"Crime, Drama, Mystery",163 min,2015,Nishikant Kamat,8.2,"89,484",81%,"Ajay Devgn, Shriya Saran, Tabu",tt4430212,movie,Not Rated,31-Jul-15,"Jeethu Joseph, Upendra Sidhaye",India,2 wins & 8 nominations,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",no,yes,
3-Iron,"Crime, Drama, Romance",88 min,2004,Kim Ki-duk,7.9,"56,826",87%,"Seung-Yun Lee, Hee Jae, Hyuk-ho Kwon",tt0423866,movie,R,15-Oct-04,Kim Ki-duk,"South Korea, Japan",17 wins & 11 nominations,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,no,yes,
Persian Lessons,"Drama, War",127 min,2020,Vadim Perelman,7.4,"10,648",79%,"Nahuel Pérez Biscayart, Lars Eidinger, Jonas Nay",tt9738784,movie,N/A,24-Sep-20,"Ilja Zofin, Wolfgang Kohlhaase","Russia, Germany, Belarus",8 wins & 13 nominations,"A young Jewish man in a concentration camp has his life saved when executioners realize he owns a Persian book. Brought before a camp officer who wants to learn Farsi, Gilles agrees to teach him despite not knowing a word of the l...",no,yes,
Before Midnight,"Drama, Romance",109 min,2013,Richard Linklater,7.9,"165,936",98%,"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick",tt2209418,movie,R,14-Jun-13,"Richard Linklater, Julie Delpy, Ethan Hawke","United States, Greece",Nominated for 1 Oscar. 20 wins & 63 nominations total,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,no,yes,
Carnage,"Comedy, Drama",80 min,2011,Roman Polanski,7.1,"130,262",70%,"Jodie Foster, Kate Winslet, Christoph Waltz",tt1692486,movie,R,18-Nov-11,"Yasmina Reza, Michael Katims, Roman Polanski","France, Germany, Poland, Spain",7 wins & 20 nominations,"Two pairs of parents hold a cordial meeting after their sons are involved in a fight, though as their time together progresses, increasingly childish behavior throws the discussion into chaos.",no,yes,
The Invasion,"Sci-Fi, Thriller",99 min,2007,Oliver Hirschbiegel,5.9,"80,943",20%,"Nicole Kidman, Daniel Craig, Jeremy Northam",tt0427392,movie,PG-13,17-Aug-07,"David Kajganich, Jack Finney","United States, Australia",1 win & 2 nominations,"As a Washington, D.C. psychiatrist unearths the origin of an alien epidemic, she also discovers her son might be the only way it can be stopped.",no,yes,
Never Look Away,"Biography, Drama, Romance",189 min,2018,Florian Henckel von Donnersmarck,7.7,"23,783",77%,"Tom Schilling, Sebastian Koch, Paula Beer",tt5311542,movie,R,3-Oct-18,Florian Henckel von Donnersmarck,"Germany, Italy",Nominated for 2 Oscars. 5 wins & 18 nominations total,"German artist Kurt Barnert has escaped East Germany and now lives in West Germany, but is tormented by his childhood under the Nazis and the GDR-regime.",no,yes,
The Wire,"Crime, Drama, Thriller",59 min,2002–2008,N/A,9.3,"357,879",N/A,"Dominic West, Lance Reddick, Sonja Sohn",tt0306414,series,TV-MA,2-Jun-02,David Simon,United States,Nominated for 2 Primetime Emmys. 16 wins & 54 nominations total,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",no,yes,
The Sopranos,"Crime, Drama",55 min,1999–2007,N/A,9.2,"431,899",N/A,"James Gandolfini, Lorraine Bracco, Edie Falco",tt0141842,series,TV-MA,10-Jan-99,David Chase,United States,Won 21 Primetime Emmys. 122 wins & 309 nominations total,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",no,yes,
After Life,"Comedy, Drama",30 min,2019–2022,N/A,8.4,"145,575",N/A,"Ricky Gervais, Tom Basden, Tony Way",tt8398600,series,TV-MA,8-Mar-19,Ricky Gervais,United Kingdom,3 wins & 6 nominations,"After Tony's wife dies, his nice-guy persona is altered into an impulsive, devil-may-care attitude that takes his old world by storm.",no,yes,
